Serie,Modelo,Local,
2417140030185,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030186,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030187,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030188,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2452140030348,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
23CPXG3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
4Z701H3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
56CPXG3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
D7WZRH3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
DC1VCJ3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
GYQSCJ3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
H7WVRH3,NOTEBOOK DELL LATITUDE E7270  I5 6300U  8GB 128SSD,CSDT,
DD5JCK2,NOTEBOOK LATITUDE E7250 I5 5300U 8GB SSD 128GB,CSDT,
BOTTB92,PC DELL,CSDT,
LWCR10A860I090,SERVIDOR HP PROLIANT DL380 G7 32 GB SEM SISTEMA OPERACIO,CSDT,
S/ SERIAL.,TECLADO OFFICEEASY C/FIO PRETO,CSDT,
4ZKXWQ2,COMPUTADOR DELL I5 8GB 240SSD,DEJUR,
220517890010070000,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DEJUR,
2444491010011,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DEJUR,
